NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
Dique de Sedimentos da PDE Cava Sul	Ferro + Mineração S.a.	21.256.870/0001-04	-20°26'11.430"	-43°52'18.450"	Sul do Equador	MG	CONGONHAS	Minério de Ferro	9,9	10.000,00	Etapa única				Não
Dique dos Búfalos	Araxa	33.931.486/0019-60	-19°40'24.340"	-46°58'19.196"	Sul do Equador	MG	ARAXÁ	Fosfato	9,5	22.000,00	Alteamento a jusante				Não
Dique Flotação	Mineração Usiminas S.a.	12.056.613/0001-20	-20°08'45.300"	-44°24'19.700"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	6	57.000,00	Etapa única				Não
Dique Intermediário	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'35.400"	-44°26'59.800"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	12	12.000,00	Etapa única				Não
Dique IV	Mineração Geral do Brasil S A	60.727.120/0001-17	-20°04'15.981"	-44°01'17.594"	Sul do Equador	MG	BRUMADINHO	Argila Arenosa	2	100	Etapa única				Não
Dique Leste I	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'17.000"	-44°22'16.400"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	9,2	15.100,00	Etapa única				Não
Dique Leste II	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'12.800"	-44°22'18.400"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	10,6	7.100,00	Etapa única				Não
Dique Leste III	Mineração Usiminas S.a.	12.056.613/0001-20	-20°06'57.900"	-44°22'16.500"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	3,8	1.350,00	Etapa única				Não
Dique Longitudinal	Safm Mineração Ltda	09.325.670/0001-52	-20°16'24.690"	-43°54'00.457"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	4,3	88.750,00	Etapa única				Não
Dique Mazano	Mineração Usiminas S.a.	12.056.613/0001-20	-20°08'25.400"	-44°25'20.900"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	10	10.120,00	Etapa única				Não
Dique Quéias - Captação de Água	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	-20°07'36.100"	-44°18'58.100"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	5	1.200,00	Etapa única				Não
Fazendinha	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°58'18.219"	-43°36'29.024"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	8	3.830,74	Alteamento a jusante				Não
Gambá	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°25'52.800"	-43°52'58.300"	Sul do Equador	MG	CONGONHAS	Minério de Ferro	12,64	5.000,00	Etapa única				Não
GERAIS	Minerações Gerais Ltda	02.196.839/0001-72	-19°34'56.800"	-44°24'41.100"	Sul do Equador	MG	INHAÚMA	Areia	4	90	Indefinido				Não
Ingleses	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°57'55.300"	-43°35'14.200"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	5	3.524,96	Etapa única				Não
Ipoema	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°36'44.018"	-43°15'20.917"	Sul do Equador	MG	ITABIRA	Minério de Ferro	7,5	47.900,00	Alteamento a jusante				Não
Mata Porcos	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°23'09.800"	-43°51'27.000"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	7,15	7.000,00	Etapa única				Não
MIGUEL BURNIER - DIQUE B1	MINERACAO RODEIO DE BAIXO LTDA Filial:	26.124.547/0001-92	-20°27'23.200"	-43°44'59.000"	Sul do Equador	MG	OURO PRETO	Calcário Dolomítico	3	10.650,00	Indefinido				Não
MIGUEL BURNIER - DIQUE B2	MINERACAO RODEIO DE BAIXO LTDA Filial:	26.124.547/0001-92	-20°27'23.200"	-43°44'59.900"	Sul do Equador	MG	OURO PRETO	Calcário Dolomítico	2	17.950,00	Indefinido				Não
MIGUEL BURNIER - DIQUE B3	MINERACAO RODEIO DE BAIXO LTDA Filial:	26.124.547/0001-92	-20°27'29.600"	-43°44'01.100"	Sul do Equador	MG	OURO PRETO	Calcário Dolomítico	3	2.850,00	Indefinido				Não
Modulo 3	Nexa Recursos Minerais S.a	42.416.651/0001-07	-17°57'54.000"	-46°50'39.000"	Sul do Equador	MG	VAZANTE	Argila	6	96.000,00	Etapa única				Não
Patrimônio	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°57'34.010"	-43°35'14.011"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	8	7.185,66	Etapa única				Não
PDE Engano	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°20'17.000"	-43°25'28.600"	Sul do Equador	MG	MARIANA	Minério de Ferro	7	12.912,54	Etapa única				Não
PDE Lagoa Seca	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°20'56.300"	-43°24'47.100"	Sul do Equador	MG	MARIANA	Minério de Ferro	11,4	10.626,16	Alteamento a jusante				Não
PDE Temporária II	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°12'54.424"	-43°26'54.551"	Sul do Equador	MG	MARIANA	Minério de Ferro	12	7.000,00	Etapa única				Não
Piteiras	Piteiras Mineração Ltda.	03.369.498/0001-52	-19°41'32.500"	-43°06'46.300"	Sul do Equador	MG	ITABIRA	Xisto	2	2.000,00	Indefinido				Não
Pocilga	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°11'06.300"	-43°36'20.700"	Sul do Equador	MG	SANTA BÁRBARA	Minério de Ferro	9	38.558,57	Etapa única				Não
Pond - PDE Sul	Mosaic Fertilizantes P&k Ltda	33.931.486/0014-55	-18°59'12.152"	-46°47'58.919"	Sul do Equador	MG	PATROCÍNIO	Argila Arenosa	8,46	0	Etapa única				Não
Prata	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°24'42.200"	-43°51'55.000"	Sul do Equador	MG	OURO PRETO	Minério de Ferro	10,75	20.000,00	Etapa única				Não
SANGUINETE	Mineração Sanguinete Ltda	20.762.035/0001-75	-18°00'32.600"	-43°46'08.100"	Sul do Equador	MG	DIAMANTINA	Areia	3	15.000,00	Indefinido				Não
SANTA TERESA	Novelis do Brasil Ltda	60.561.800/0001-03	-21°28'01.900"	-42°53'09.500"	Sul do Equador	MG	DESCOBERTO	Bauxita Grau Metalúrgico	11,33	200.000,00	Indefinido				Não
SANTO ANTÔNIO	Niki Mineração Comércio e Exportação Ltda	08.667.139/0001-03	-19°32'43.650"	-43°01'51.370"	Sul do Equador	MG	ANTÔNIO DIAS	Argila Arenosa	13	150.000,00	Etapa única				Não
SUMP DE CONTENÇÃO DE SEDIMENTOS	Empresa de Mineração Esperança Sa	33.300.971/0001-06	-20°06'39.300"	-44°13'26.700"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	12	12.000,00	Etapa única				Não
Bacia "S"	Vetorial Mineração S A	61.247.870/0001-54	-19°15'39.500"	-57°31'43.600"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	4	5.233,20	Etapa única				Não
Bacia 02-03 Alto da Serra Mn	Mineração Corumbaense Reunida Sa	03.327.988/0001-96	-19°11'26.914"	-57°37'00.111"	Sul do Equador	MS	CORUMBÁ	Minério de Manganês	10,07	9.479,00	Etapa única				Não
Bacia 05 Alto da Serra	Mineração Corumbaense Reunida Sa	03.327.988/0001-96	-19°11'30.625"	-57°36'49.613"	Sul do Equador	MS	CORUMBÁ	Minério de Manganês	11,69	5.662,00	Etapa única				Não
Bacia 07 Alto da Serra	Mineração Corumbaense Reunida Sa	03.327.988/0001-96	-19°11'31.331"	-57°36'52.526"	Sul do Equador	MS	CORUMBÁ	Minério de Manganês	13,05	5.862,00	Etapa única				Não
Bacia B-2A	Vetorial Mineração S A	61.247.870/0001-54	-19°15'41.600"	-57°31'42.800"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	9,6	10.275,00	Etapa única				Não
Bacia B-2B	Vetorial Mineração S A	61.247.870/0001-54	-19°15'41.600"	-57°31'42.800"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	9,6	7.557,00	Etapa única				Não
Bacia B-3	Vetorial Mineração S A	61.247.870/0001-54	-19°15'44.700"	-57°31'42.300"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	4,31	5.397,71	Etapa única				Não
Bacia B-4	Vetorial Mineração S A	61.247.870/0001-54	-19°15'43.500"	-57°31'40.500"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	5	4.385,00	Etapa única				Não
Bacia B-5A	Vetorial Mineração S A	61.247.870/0001-54	-19°15'44.400"	-57°31'40.000"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	5	3.766,00	Etapa única				Não
Bacia B-5B	Vetorial Mineração S A	61.247.870/0001-54	-19°15'45.000"	-57°31'39.400"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	5	2.319,80	Etapa única				Não
Bacia B-8	Vetorial Mineração S A	61.247.870/0001-54	-19°15'52.800"	-57°31'37.400"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	5	7.259,80	Etapa única				Não
Bacia B-9	Vetorial Mineração S A	61.247.870/0001-54	-19°15'55.000"	-57°31'35.800"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	5,25	8.032,89	Etapa única				Não
Baia 4	Vetorial Mineração S A	61.247.870/0001-54	-19°12'01.263"	-57°38'21.980"	Sul do Equador	MS	CORUMBÁ	Minério de Ferro	10	76.000,00	Etapa única				Não
ADÃO RODUÍ	ADÃO AFONSO RODUÍ	00.046.937/2509-91	-16°14'05.580"	-56°39'08.650"	Sul do Equador	MT	POCONÉ	Areia	14	300.000,00	Alteamento a jusante				Não
Alain II	Alain Stephane Riviere Mineração	15.264.439/0001-07	-16°15'18.000"	-56°36'55.000"	Sul do Equador	MT	POCONÉ	Areia	3	350.000,00	Alteamento por linha de centro				Não
BACIA DE REJEITO MINERGOLD	P C Traven	17.194.340/0001-01	-15°41'47.500"	-56°20'02.100"	Sul do Equador	MT	NOSSA SENHORA DO LIVRAMENTO	Minério de Ouro Primário	5	146.000,00	Indefinido				Não
BACIA DE REJEITOS BOM JARDIM	Evaldino Rodui	00.028.791/7629-87	-16°15'02.200"	-56°35'56.900"	Sul do Equador	MT	POCONÉ	Rocha Aurífera	8	450.000,00	Indefinido				Não
BACIA DE REJEITOS SÃO BENTO	Francismar Cristiano Lima Formiga	00.081.375/5571-49	-16°15'28.700"	-56°35'39.700"	Sul do Equador	MT	POCONÉ	Rocha Aurífera	6	124.650,00	Indefinido				Não
BARRAGEM BLOCO NORTE	Angelo Carlos Vicari Junior	00.092.389/5701-00	-10°41'16.700"	-54°49'40.500"	Sul do Equador	MT	NOVA SANTA HELENA	Minério de Ouro Primário	5	7.500,00	Indefinido				Não
BARRAGEM BLOCO SUL	Angelo Carlos Vicari Junior	00.092.389/5701-00	-10°41'12.400"	-54°49'45.500"	Sul do Equador	MT	NOVA SANTA HELENA	Minério de Ouro Primário	2	100	Indefinido				Não
Barragem de Rejeito 01	A R Weber Me	05.742.530/0001-29	-15°46'29.100"	-56°17'08.600"	Sul do Equador	MT	NOSSA SENHORA DO LIVRAMENTO	Areia	7,5	54.608,00	Indefinido				Não
Barragem Salinas 1	Darci Nascimento Epp	00.057.032/0001-23	-16°10'59.700"	-56°25'06.900"	Sul do Equador	MT	POCONÉ	Rocha Aurífera	10	100.000,00	Indefinido				Não
Barragem T04	Valdinei Mauro de Souza	00.056.836/0581-49	-15°33'26.120"	-55°48'12.440"	Sul do Equador	MT	CUIABÁ	Rocha Aurífera	11	1.815.000,00	Alteamento por linha de centro				Não
Barragem T05	Valdinei Mauro de Souza	00.056.836/0581-49	-16°17'54.860"	-56°42'45.000"	Sul do Equador	MT	POCONÉ	Minério de Ouro Primário	13,49	483.417,27	Alteamento a jusante				Não
Barragem T06	Valdinei Mauro de Souza	00.056.836/0581-49	-16°18'00.590"	-56°43'58.620"	Sul do Equador	MT	POCONÉ	Minério de Ouro Primário	6	153.602,70	Alteamento a jusante				Não
BOM PASTOR	Sidnei Rafael de Souza	00.009.611/8508-24	-16°05'50.500"	-56°34'24.400"	Sul do Equador	MT	POCONÉ	Areia	14	660.000,00	Alteamento a jusante				Não
CAMPOS	Moacyr de Campos	00.008.158/7032-91	-16°10'53.470"	-56°35'57.090"	Sul do Equador	MT	POCONÉ	Areia	12	1.248.000,00	Alteamento a jusante				Não
CANGAS	Jonas Gimenez Rodrigues	00.001.568/0888-92	-16°06'39.080"	-56°34'26.280"	Sul do Equador	MT	POCONÉ	Areia	11,5	400.000,00	Alteamento a jusante				Não
CF - Leste	Mineração Tereza Botas Ltda.	36.960.714/0001-99	-16°12'57.000"	-56°36'15.500"	Sul do Equador	MT	POCONÉ	Rocha Aurífera	5	192.200,00	Indefinido				Não
CF - Oeste	Mineração Tereza Botas Ltda.	36.960.714/0001-99	-16°12'51.900"	-56°36'21.400"	Sul do Equador	MT	POCONÉ	Rocha Aurífera	5	92.000,00	Indefinido				Não
CHICO	NORAIR NELSON DE SOUZA	00.052.285/9791-34	-16°17'41.470"	-56°39'05.520"	Sul do Equador	MT	POCONÉ	Areia	8	484.000,00	Alteamento a jusante				Não
COQUEIRAL	EVANDRO DE SOUZA	00.089.486/5109-97	-16°03'11.270"	-56°32'59.720"	Sul do Equador	MT	POCONÉ	Areia	14	400.000,00	Alteamento a jusante				Não
FRED	Frederico Augusto de Arruda Gimenez Me	07.111.522/0001-00	-16°03'42.270"	-56°33'37.530"	Sul do Equador	MT	POCONÉ	Areia	10	150.000,00	Alteamento a jusante				Não
GAÚCHO	Airton Luiz Carus	00.035.505/9230-20	-16°14'51.200"	-56°35'39.800"	Sul do Equador	MT	POCONÉ	Areia	10	150.000,00	Alteamento a jusante				Não
JOAO PAULO	Elisa Maciel Santos	00.069.390/0611-72	-16°14'55.560"	-56°36'19.500"	Sul do Equador	MT	POCONÉ	Argila	14,75	450.000,00	Alteamento a jusante				Não
LU	José Vicente Nunes Rondon	00.000.649/2011-91	-16°14'28.910"	-56°36'17.520"	Sul do Equador	MT	POCONÉ	Areia	2	590.000,00	Alteamento a jusante				Não
MARANATA	Sidnei Rafael de Souza	00.009.611/8508-24	-16°02'16.500"	-56°32'15.500"	Sul do Equador	MT	POCONÉ	Areia	14,5	483.000,00	Alteamento a jusante				Não
MINERAÇÃO VALE DOURADO	Marcir Norberto Weber	15.947.559/0001-09	-14°51'02.100"	-56°34'25.400"	Sul do Equador	MT	ROSÁRIO OESTE	Aluvião Aurífero	1	2	Indefinido				Não
Moça Bonita	Valdemir Carlos de Souza	00.032.618/3101-44	-16°11'25.864"	-56°24'47.168"	Sul do Equador	MT	POCONÉ	Minério de Ouro Primário	8	238.605,87	Alteamento a jusante				Não
OREGON	SÉRGIO DE FRANÇA	00.030.215/7229-49	-16°16'27.700"	-56°38'14.100"	Sul do Equador	MT	POCONÉ	Areia	6	810.000,00	Alteamento a jusante				Não
OURINHOS I	João Ginenes Rodrigues	00.051.095/7858-34	-16°07'11.800"	-56°35'15.800"	Sul do Equador	MT	POCONÉ	Argila	14,9	1.300.000,00	Alteamento a jusante				Não
Rejeito	Vantage Brasil Mineração Ltda.	08.222.734/0001-27	-11°18'48.229"	-59°05'10.553"	Sul do Equador	MT	JUÍNA	Rocha Diamantífera	4	424.000,00	Indefinido				Não
RODUÍ II	ADÃO AFONSO RODUÍ	00.046.937/2509-91	-16°14'20.620"	-56°39'09.370"	Sul do Equador	MT	POCONÉ	Areia	3	140.000,00	Alteamento a jusante				Não
VALE DOURADO	Marcir Norberto Weber	15.947.559/0001-09	-14°51'02.100"	-56°34'25.400"	Sul do Equador	MT	ROSÁRIO OESTE	Aluvião Aurífero	1	2	Indefinido				Não
1 Mina	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°23'57.800"	-50°20'24.500"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	8,5	188.680,72	Etapa única				Não
1 Usina	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°27'17.700"	-50°13'43.500"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	7	34.000,00	Etapa única				Não
3 Kalunga	Vale S A Filial: Vale Manganês do Azul	33.592.510/0130-51	-6°07'12.200"	-50°18'08.700"	Sul do Equador	PA	PARAUAPEBAS	Minério de Manganês	3,5	1.965.306,00	Etapa única				Não
3 Mina	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°23'39.900"	-50°19'11.300"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	14,61	165.320,00	Etapa única				Não
Bacia C Usina	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°26'20.400"	-50°14'08.900"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	7,3	30.114,00	Etapa única				Não
Barragem A1	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°28'18.900"	-56°23'08.700"	Sul do Equador	PA	ORIXIMINÁ	Argila	11	422.000,00	Alteamento a montante ou desconhecido				Não
Barragem Água Fria	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°27'56.900"	-56°23'26.400"	Sul do Equador	PA	ORIXIMINÁ	Argila	8	103.000,00	Alteamento a montante ou desconhecido				Não
BARRAGEM SÃO GERALDO	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-6°06'36.700"	-52°16'31.000"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Areia e Cascalho	3	5.250,00	Indefinido				Não
BARRAGEM SAO GERALDO 02	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-6°04'32.800"	-52°15'18.700"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Areia e Cascalho	3	10.500,00	Indefinido				Não
Barramento 10	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°26'36.800"	-50°19'05.200"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	2,9	10.670,00	Etapa única				Não
Barramento 7	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°26'26.000"	-50°19'31.800"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	2,4	2.467,00	Etapa única				Não
Barramento 8	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°26'25.600"	-50°19'12.000"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	2,4	4.511,00	Etapa única				Não
CSO1	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°24'28.900"	-50°02'39.000"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	6	1	Etapa única				Não
Dique 04	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°33'31.456"	-51°10'40.184"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Minério de Níquel	5,9	87.700,00	Etapa única				Não
Dique 05	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°33'21.445"	-51°10'24.538"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Minério de Níquel	10,85	405.554,90	Etapa única				Não
Dique 06	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°34'49.300"	-51°10'27.000"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Minério de Níquel	10,5	78.000,00	Etapa única				Não
Dique do Puma 01	Vale Minas MOP	33.592.510/0075-90	-6°29'06.900"	-51°04'39.100"	Sul do Equador	PA	PARAUAPEBAS	Minério de Níquel	13,6	295.000,00	Etapa única				Não
Dique Provisorio 01	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°33'42.700"	-51°10'16.100"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Minério de Níquel	6,2	28.500,00	Etapa única				Não
Dique Provisorio 02	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°33'37.400"	-51°10'00.200"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Minério de Níquel	4,8	21.300,00	Etapa única				Não
E48 Bacia I	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°25'11.700"	-50°18'47.900"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	5,03	6.333,00	Indefinido				Não
Igarapé	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°35'24.000"	-51°05'24.000"	Sul do Equador	PA	OURILÂNDIA DO NORTE	Minério de Níquel	8,1	1.862.231,00	Etapa única				Não
Lagoa de Disposição n°04 - LD4	Alcoa World Alumina Brasil Ltda.	06.167.730/0001-68	-2°29'12.100"	-56°10'41.300"	Sul do Equador	PA	JURUTI	Bauxita Grau Não Metalúrgico	12	750.000,00	Etapa única				Não
LAGOA FACEL 3	Cadam S.a.	04.788.980/0001-90	-0°54'40.017"	-52°25'56.866"	Sul do Equador	PA	ALMEIRIM	Caulim	11	600.000,00	Etapa única				Não
LAGOA FACEL 4	Cadam S.a.	04.788.980/0001-90	-0°54'52.451"	-52°25'43.269"	Sul do Equador	PA	ALMEIRIM	Caulim	9	412.800,00	Etapa única				Não
Lagoa Progeo	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°26'30.700"	-50°19'35.400"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	2,5	21.520,00	Etapa única				Não
Maney Mineração	Valdinei Mauro de Souza	00.056.836/0581-49	-6°47'20.006"	-56°36'29.199"	Sul do Equador	PA	ITAITUBA	Minério de Ouro Secundário	5	400.000,00	Etapa única				Não
PN - 1	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°24'20.600"	-50°03'25.600"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	5	100.000,00	Etapa única				Não
PN - 3	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°24'09.341"	-50°04'31.472"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	6,5	1.120,00	Etapa única				Não
PN - 4	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°24'41.461"	-50°01'59.710"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	5	7.000,00	Etapa única				Não
PN - 6	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°24'21.578"	-50°05'03.123"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	5,5	50.000,00	Etapa única				Não
PN -5	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°25'16.985"	-50°02'09.927"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	4	6.000,00	Etapa única				Não
PS -1	Vale S A Filial: Vale Mina Sossego	33.592.510/0009-01	-6°26'01.900"	-50°02'54.100"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Argila Arenosa	7	220.000,00	Etapa única				Não
RECON	Mineração São Francisco de Assis Ltda.	42.323.964/0001-10	-6°49'53.500"	-51°59'27.600"	Sul do Equador	PA	SÃO FÉLIX DO XINGU	Areia	3	0	Indefinido				Não
Sul Pilha	Vale S A Filial: Vale Serra Sul	33.592.510/0089-96	-6°28'41.600"	-50°19'16.900"	Sul do Equador	PA	CANAÃ DOS CARAJÁS	Minério de Ferro	12	496.059,42	Etapa única				Não
Usina	Vale S A Filial: Vale Minas MOP	33.592.510/0075-90	-6°34'49.700"	-51°04'37.500"	Sul do Equador	PA	OURILÂNDIA DO NORTE	Minério de Níquel	8,5	494.416,00	Etapa única				Não
QUIXABA USINA	Rozen Mineradora, Consultoria e Assessoria Em Gestão Empresarial Ltda Me	10.857.721/0001-76	-6°48'26.900"	-37°00'28.800"	Sul do Equador	PB	VÁRZEA	Areia Quartzosa	3	450	Indefinido				Não
803.285/2014	Plinio Almeida Boson	11.714.784/0001-36	-9°14'09.800"	-42°34'41.200"	Sul do Equador	PI	SÃO LOURENÇO DO PIAUÍ	Saibro	1	500	Indefinido				Não
bonito	Ecb Rochas Ornamentais do Brasil Ltda	02.746.671/0001-21	-5°12'32.100"	-41°42'27.600"	Sul do Equador	PI	CASTELO DO PIAUÍ	Quartzito	1,5	900	Indefinido				Não
areal eskema	Areal Eskema Ltda	32.110.223/0001-06	-22°44'38.000"	-43°42'28.000"	Sul do Equador	RJ	SEROPÉDICA	Areia	8	80.000,00	Indefinido				Não
Pond de Emergência	Anglo American Minério de Ferro Brasil S.a	02.359.572/0004-30	-21°49'52.000"	-41°01'14.000"	Sul do Equador	RJ	SÃO JOÃO DA BARRA	Minério de Ferro	4,5	333.438,00	Etapa única				Não
BARRAGEM 01	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-10°30'18.000"	-63°37'14.100"	Sul do Equador	RO	CAMPO NOVO DE RONDÔNIA	Areia e Cascalho	3	31.250,00	Indefinido				Não
BARRAGEM 02	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-11°09'42.300"	-62°25'02.700"	Sul do Equador	RO	CAMPO NOVO DE RONDÔNIA	Areia e Cascalho	3,5	31.250,00	Indefinido				Não
BARRAGEM 339	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-11°08'14.500"	-61°37'15.100"	Sul do Equador	RO	MINISTRO ANDREAZZA	Areia e Cascalho	4,5	7.500,00	Indefinido				Não
BARRAGEM 341	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-11°08'14.500"	-61°37'15.100"	Sul do Equador	RO	MINISTRO ANDREAZZA	Areia e Cascalho	4,5	7.500,00	Indefinido				Não
BARRAGEM TABOQUINHA	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-9°31'24.000"	-62°54'21.200"	Sul do Equador	RO	CUJUBIM	Areia e Cascalho	4,5	7.500,00	Indefinido				Não
BARRAGEM TARILÂNDIA 01	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-10°49'19.200"	-62°50'02.200"	Sul do Equador	RO	JARU	Argila	3	31.250,00	Indefinido				Não
BARRAGEM URUPA 01	Cooperativa Mineradora dos Garimpeiros de Ariquemes	22.825.491/0001-42	-11°08'07.500"	-62°26'15.100"	Sul do Equador	RO	URUPÁ	Argila	3	31.250,00	Indefinido				Não
Belíssima	Cooperativa de Garimpeiros de Santa Cruz Ltda	34.726.547/0001-90	-9°47'34.047"	-63°33'34.869"	Sul do Equador	RO	ARIQUEMES	Minério de Estanho Secundário	10	1.300.000,00	Etapa única				Não
Queimada	Metalmig Mineração Indústria e Comércio S A	34.456.038/0001-95	-9°25'25.900"	-63°02'52.400"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	5	60.000,00	Etapa única				Não
RESERVATÓRIO 01	Farias e Rodrigues Ltda Me	11.239.511/0001-87	-12°57'09.000"	-60°24'38.700"	Sul do Equador	RO	VILHENA	Argila Arenosa	2	1.296,00	Indefinido				Não
RESERVATÓRIO 01	Muller & Cia Ltda Me	04.800.249/0001-32	-12°53'50.800"	-60°25'21.300"	Sul do Equador	RO	VILHENA	Argila Arenosa	2	17.848,00	Indefinido				Não
RESERVATÓRIO 01	Norte Sul TerraplenagemComercio EIRELIMe	17.133.940/0001-51	-12°55'57.300"	-60°20'58.300"	Sul do Equador	RO	VILHENA	Argila Arenosa	3	124.125,00	Indefinido				Não
